datetm,open,high,low,close,volume,amount
2020-06-18T13:18:00+0530,1639,1641.9,1638.55,1640,283426,0
2020-06-18T13:19:00+0530,1639.9,1640.05,1637.8,1638.05,75063,0
2020-06-18T13:20:00+0530,1638.8,1639.65,1638,1638.9,46095,0
2020-06-18T13:21:00+0530,1638.9,1640.75,1638.8,1640.05,38386,0
2020-06-18T13:22:00+0530,1641,1643.45,1640.8,1641.55,130249,0
2020-06-18T13:23:00+0530,1641.8,1642.95,1641.15,1642.5,65270,0
2020-06-18T13:24:00+0530,1642.5,1643.6,1641.75,1641.9,76007,0
2020-06-18T13:25:00+0530,1642,1642,1639.6,1640.1,65930,0
2020-06-18T13:26:00+0530,1640.1,1640.75,1639.55,1640.4,29490,0
2020-06-18T13:27:00+0530,1640.4,1641,1638.55,1639.4,37848,0
2020-06-18T13:28:00+0530,1639.25,1640.25,1639.2,1640.15,22253,0
2020-06-18T13:29:00+0530,1640.15,1641.85,1640.15,1641.65,21471,0
2020-06-18T13:30:00+0530,1641,1643,1641,1642.85,43709,0
2020-06-18T13:31:00+0530,1643,1643.8,1642,1642.75,74588,0
2020-06-18T13:32:00+0530,1643.3,1643.3,1641.3,1642,40940,0
2020-06-18T13:33:00+0530,1642.5,1643.45,1641.55,1642.1,45617,0
2020-06-18T13:34:00+0530,1642.4,1643.25,1641.75,1643.1,35637,0
2020-06-18T13:35:00+0530,1643.1,1645,1642.55,1644.15,129198,0
2020-06-18T13:36:00+0530,1643.8,1644.15,1641.55,1642.4,58777,0
2020-06-18T13:37:00+0530,1642.4,1644,1642.3,1643.45,24506,0
2020-06-18T13:38:00+0530,1642.55,1644,1642.5,1643.5,32197,0
2020-06-18T13:39:00+0530,1643.5,1643.55,1642.55,1643.45,24751,0
2020-06-18T13:40:00+0530,1643.1,1644.7,1643.1,1643.5,36952,0
2020-06-18T13:41:00+0530,1643.2,1643.7,1642.65,1642.95,25610,0
2020-06-18T13:42:00+0530,1642.45,1642.8,1640.45,1641.2,52042,0
2020-06-18T13:43:00+0530,1641.05,1641.7,1640,1641,43250,0
