Datetime,1min,2min,5min,1min%,2min%,5min%,Trend
2020-06-26 12:03:00+05:30,0.807719561,,,-1.289385924,0,0,0
2020-06-26 12:04:00+05:30,0.876559188,1.128295406,,8.52271377,27.09655792,0,0
2020-06-26 12:05:00+05:30,0.95445285,,2.950077932,8.886298116,0,13.5355709,0
2020-06-26 12:06:00+05:30,0.709483499,1.132024432,,-25.66594576,0.33050092,0,0
2020-06-26 12:07:00+05:30,0.707334622,,,-0.302879058,0,0,-0.2
2020-06-26 12:08:00+05:30,0.705909893,1.10260651,,-0.201422224,-2.598700306,0,-0.7
2020-06-26 12:09:00+05:30,0.409843568,,,-41.94109312,0,0,0
2020-06-26 12:10:00+05:30,0.275539619,0.986028689,3.139469312,-32.76956364,-10.57293055,6.419877203,0
2020-06-26 12:11:00+05:30,0.153311123,,,-44.35968103,0,0,0
2020-06-26 12:12:00+05:30,0.118099593,0.888884007,,-22.96736828,-9.852115231,0,0
2020-06-26 12:13:00+05:30,0.01456084,,,-87.67071097,0,0,0
2020-06-26 12:14:00+05:30,0.253305493,1.067043157,,1639.635155,20.04301446,0,1
2020-06-26 12:15:00+05:30,0.374405712,,3.358099161,47.80797156,0,6.963911004,0
2020-06-26 12:16:00+05:30,0.306077029,0.991171196,,-18.24990398,-7.110486561,0,0
2020-06-26 12:17:00+05:30,0.195292585,,,-36.19495533,0,0,0
2020-06-26 12:18:00+05:30,0.171750113,0.950844145,,-12.05497464,-4.068626286,0,0
2020-06-26 12:19:00+05:30,0.152677771,,,-11.10470449,0,0,0
2020-06-26 12:20:00+05:30,1.027315449,1.792685817,4.340476003,572.8651089,88.53624197,29.25395572,0
2020-06-26 12:21:00+05:30,1.507711016,,,46.7622255,0,0,0
2020-06-26 12:22:00+05:30,1.989990595,2.312798384,,31.98753434,29.0130352,0,0
2020-06-26 12:23:00+05:30,1.786311615,,,-10.23517298,0,0,0
2020-06-26 12:24:00+05:30,1.373082097,1.97330778,,-23.13311487,-14.67878076,0,0
2020-06-26 12:25:00+05:30,0.649208246,,4.015810747,-52.71890534,0,-7.479945879,0
2020-06-26 12:26:00+05:30,-0.338203614,1.223205447,,-152.0947809,-38.01243479,0,0
2020-06-26 12:27:00+05:30,-0.512907271,,,51.65635433,0,0,0
2020-06-26 12:28:00+05:30,-0.745443755,0.631988408,,45.33694437,-48.33342105,0,0
2020-06-26 12:29:00+05:30,-1.179029229,,,58.16474706,0,0,0
2020-06-26 12:30:00+05:30,-1.496231746,0.059824268,3.518598285,26.90370252,-90.53396122,-12.38137187,0
2020-06-26 12:31:00+05:30,-1.477942061,,,-1.222383113,0,0,0
2020-06-26 12:32:00+05:30,-1.396934122,-0.290255546,,-5.481130933,-585.1802735,0,0
2020-06-26 12:33:00+05:30,-1.411695364,,,1.056688467,0,0,0
2020-06-26 12:34:00+05:30,-1.163403206,-0.387992839,,-17.58822507,33.67284259,0,0
2020-06-26 12:35:00+05:30,-0.977578584,,3.318654898,-15.97250383,0,-5.682472705,0
2020-06-26 12:36:00+05:30,-0.624631365,-0.262527525,,-36.10422989,-32.33701787,0,0
2020-06-26 12:37:00+05:30,-0.375466345,,,-39.88993084,0,0,0
2020-06-26 12:38:00+05:30,-0.219510293,-0.2951077,,-41.5366263,12.41019356,0,0
2020-06-26 12:39:00+05:30,-0.305149556,,,39.0137801,0,0,0
2020-06-26 12:40:00+05:30,-0.176461432,-0.162714785,2.829319006,-42.17214845,-44.86257546,-14.74500684,0
2020-06-26 12:41:00+05:30,0.064264676,,,-136.4185396,0,0,0
2020-06-26 12:42:00+05:30,-0.160856553,-0.563688761,,-350.3032173,246.4274989,0,0
2020-06-26 12:43:00+05:30,-0.6689849,,,315.889119,0,0,0
2020-06-26 12:44:00+05:30,-1.31038053,-1.551078245,,95.87595036,175.1657215,0,0
2020-06-26 12:45:00+05:30,-2.062513534,,1.466233753,57.39806012,0,-48.1771497,0
2020-06-26 12:46:00+05:30,-2.393201992,-2.26041241,,16.03327457,45.73168163,0,0
2020-06-26 12:47:00+05:30,-2.420992931,,,1.161244988,0,0,0
2020-06-26 12:48:00+05:30,-2.207286427,-2.528173216,,-8.827225416,11.84566166,0,0
2020-06-26 12:49:00+05:30,-2.027075461,,,-8.164367086,0,0,0
2020-06-26 12:50:00+05:30,-2.038611615,-2.65571899,0.585983036,0.569103358,5.044977664,-60.03481471,0
2020-06-26 12:51:00+05:30,-1.488612762,,,-26.97908957,0,0,0
2020-06-26 12:52:00+05:30,-1.106680537,-2.55500629,,-25.65692263,-3.79229507,0,0
2020-06-26 12:53:00+05:30,-0.972032834,,,-12.16680864,0,0,0
2020-06-26 12:54:00+05:30,-0.665369422,-2.455866935,,-31.54866807,-3.880200028,0,0
2020-06-26 12:55:00+05:30,-0.683454885,,-0.055317753,2.718108553,0,-109.4401628,0
2020-06-26 12:56:00+05:30,-0.411184838,-2.154692271,,-39.83731076,-12.26347647,0,0
2020-06-26 12:57:00+05:30,-0.117041883,,,-71.53545754,0,0,0
2020-06-26 12:58:00+05:30,-0.018985984,-2.001010748,,-83.77847014,-7.13241171,0,0
2020-06-26 12:59:00+05:30,-0.042548866,,,124.1067216,0,0,0
2020-06-26 13:00:00+05:30,0.206798406,-1.643327577,-0.657971325,-586.0256552,-17.87512488,1089.439726,0
2020-06-26 13:01:00+05:30,0.345623757,,,67.13076432,0,0,0
2020-06-26 13:02:00+05:30,0.311384411,-1.850847673,,-9.906536972,12.62804191,0,0
2020-06-26 13:03:00+05:30,-0.44289293,,,-242.2334946,0,0,0
2020-06-26 13:04:00+05:30,-0.545362128,-2.006646031,,23.13633641,8.417675908,0,0
2020-06-26 13:05:00+05:30,-0.704926727,,-1.274785609,29.25846706,0,93.7448579,0
2020-06-26 13:06:00+05:30,-0.472300608,-1.858823909,,-33.00004245,-7.36662668,0,0
2020-06-26 13:07:00+05:30,-0.387881105,,,-17.87410426,0,0,0
2020-06-26 13:08:00+05:30,-0.288215076,-1.731618204,,-25.69499455,-6.843343512,0,0
2020-06-26 13:09:00+05:30,-0.202705877,,,-29.6685379,0,0,0
2020-06-26 13:10:00+05:30,-0.602341143,-1.924785439,-1.768232786,197.1503104,11.1553017,38.70824808,0
2020-06-26 13:11:00+05:30,-0.530684728,,,-11.89631739,0,0,0
2020-06-26 13:12:00+05:30,-0.357631621,-1.656493817,,-32.60940027,-13.93878071,0,0
2020-06-26 13:13:00+05:30,-0.046318683,,,-87.04849337,0,0,0
2020-06-26 13:14:00+05:30,0.399256533,-0.943331604,,-961.9772981,-43.05251282,0,0.3
2020-06-26 13:15:00+05:30,0.987679932,,-1.402686292,147.3797796,0,-20.6729847,0
2020-06-26 13:16:00+05:30,1.380460783,-0.327992723,,39.7680299,-65.2303897,0,0
2020-06-26 13:17:00+05:30,1.387563864,,,0.51454427,0,0,0
2020-06-26 13:18:00+05:30,1.529111798,0.100391817,,10.20118335,-130.6079403,0,0
2020-06-26 13:19:00+05:30,1.386642912,,,-9.317100731,0,0,0
2020-06-26 13:20:00+05:30,1.405508534,0.446347455,-1.135012446,1.360524933,344.6054164,-19.08294446,0
2020-06-26 13:21:00+05:30,1.323468338,,,-5.837047156,0,0,0
2020-06-26 13:22:00+05:30,1.058213,0.461428393,,-20.04243933,3.378743953,0,0
2020-06-26 13:23:00+05:30,0.791723463,,,-25.18297707,0,0,0
2020-06-26 13:24:00+05:30,0.846141348,0.610301165,,6.873344985,32.26346154,0,0
2020-06-26 13:25:00+05:30,0.669338237,,-1.015433105,-20.89522169,0,-10.53550925,0
2020-06-26 13:26:00+05:30,0.569142214,0.669506426,,-14.96941566,9.700990994,0,0
2020-06-26 13:27:00+05:30,0.524108164,,,-7.912618233,0,0,0
2020-06-26 13:28:00+05:30,0.093618198,0.485999908,,-82.13761877,-27.40922427,0,0
2020-06-26 13:29:00+05:30,0.12035279,,,28.55704576,0,0,0
2020-06-26 13:30:00+05:30,-0.215758191,0.229077802,-1.383832979,-279.2714497,-52.86464078,36.28007319,0
2020-06-26 13:31:00+05:30,-0.285740903,,,32.435715,0,0,0
