time,1min,2min,5min,1min%,2min%,5min%
2020-06-26T15:00:00+05:30,1.402083,0.899652,-1.3801,237.8004,-300.492,-56.665
2020-06-26T15:01:00+05:30,2.38041,,,69.77661,0,0
2020-06-26T15:02:00+05:30,3.325293,2.390795,,39.69417,165.7465,0
2020-06-26T15:03:00+05:30,3.783672,,,13.7846,0,0
2020-06-26T15:04:00+05:30,3.984237,3.603815,,5.300816,50.73714,0
2020-06-26T15:05:00+05:30,4.392903,,-0.03841,10.25708,0,-97.2169
2020-06-26T15:06:00+05:30,4.137947,3.739487,,-5.80383,3.76468,0
2020-06-26T15:07:00+05:30,2.848756,,,-31.1553,0,0
2020-06-26T15:08:00+05:30,1.696747,3.270417,,-40.439,-12.5437,0
2020-06-26T15:09:00+05:30,1.315847,,,-22.4488,0,0
2020-06-26T15:10:00+05:30,0.379049,2.549527,0.372347,-71.1935,-22.0428,-1069.42
2020-06-26T15:11:00+05:30,-0.07935,,,-120.935,0,0
2020-06-26T15:12:00+05:30,-0.22327,2.254802,,181.3603,-11.56,0
2020-06-26T15:13:00+05:30,-0.3088,,,38.30768,0,0
2020-06-26T15:14:00+05:30,-0.2632,2.306106,,-14.7662,2.275297,0
2020-06-26T15:15:00+05:30,0.181882,,1.359772,-169.104,0,265.1893
2020-06-26T15:16:00+05:30,0.368596,2.398826,,102.6564,4.020629,0
2020-06-26T15:17:00+05:30,0.456131,,,23.74808,0,0
2020-06-26T15:18:00+05:30,0.530118,2.599713,,16.22069,8.374376,0
2020-06-26T15:19:00+05:30,0.877707,,,65.56825,0,0
2020-06-26T15:20:00+05:30,0.818159,2.556783,2.339797,-6.78458,-1.65131,72.07274
2020-06-26T15:21:00+05:30,0.673797,,,-17.6447,0,0
2020-06-26T15:22:00+05:30,0.81097,2.761105,,20.35817,7.991343,0
2020-06-26T15:23:00+05:30,0.987929,,,21.82058,0,0
2020-06-26T15:24:00+05:30,1.181487,2.905559,,19.5923,5.231764,0
2020-06-26T15:25:00+05:30,1.021612,,3.105314,-13.5316,0,32.71724
2020-06-26T15:26:00+05:30,0.690938,2.680802,,-32.3679,-7.7354,0
2020-06-26T15:27:00+05:30,0.549767,,,-20.4317,0,0
2020-06-26T15:28:00+05:30,0.533521,2.627568,,-2.95511,-1.98575,0
2020-06-26T15:29:00+05:30,0.502675,,,-5.78158,0,0
